frame,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,TOE_x,TOE_y,TOE_z,HOSEL_x,HOSEL_y,HOSEL_z,GRIP_x,GRIP_y,GRIP_z
0,-2.6412502,2.9121193,10.475969000000001,-2.5969360000000004,2.8685135,10.4995,-2.6951623000000002,2.8666356,10.492429999999999,-2.50605,2.8499229999999995,10.557051,-2.7669500000000005,2.8464422000000003,10.532486,-2.3586418,3.0809215,10.643955,-2.8037012,3.0331132,10.487079999999999,-2.3855287,3.4379947,10.511771000000001,-2.687735,3.3935636000000002,10.379335999999999,-2.4274974,3.733382,10.290901999999999,-2.5101196999999997,3.7260705,10.245148,-2.3660451,3.6914402,10.602895,-2.7206847,3.6325902,10.488232,-2.1923968,4.2430639999999995,10.427088,-2.7976727,4.13723,10.236015,-2.0378023,4.7397134,10.220437,-2.859545,4.5996547,10.010557,-1.9594578,4.5353082,8.9544517,-2.0028855,4.5854074,9.073269400000001,-2.3824582,3.8763756,10.148408
1,-2.6582225999999998,2.906569,10.45463,-2.614953,2.865312,10.478677000000001,-2.7053670000000003,2.8639302,10.477487,-2.5165278000000004,2.8494536999999998,10.548751000000001,-2.7651179999999997,2.8465563,10.533323000000001,-2.3556612,3.0802639999999997,10.65109,-2.8022254,3.0313063000000002,10.489768,-2.3893477,3.4324238,10.511142,-2.6848534,3.3932593,10.382003,-2.433756,3.730309,10.286196,-2.5061485,3.7289375000000002,10.247773,-2.3664199999999997,3.6973578000000002,10.599973,-2.7246305,3.6362818000000003,10.480064,-2.1919470999999997,4.2443553000000005,10.427542,-2.8073677000000004,4.1356662,10.224457000000001,-2.043055,4.7299865,10.2205,-2.8591052,4.6000475000000005,10.010661,-1.9579545,4.5356104,8.9542073,-2.0026039,4.5854875,9.0712315,-2.3845488,3.8756546,10.146158999999999
2,-2.640442,2.9127750000000003,10.465373,-2.5982407000000003,2.8709468,10.491048000000001,-2.6926357000000003,2.8688905,10.482603,-2.511355,2.8505746,10.557582,-2.7647316,2.84694,10.530249000000001,-2.360813,3.0776917999999998,10.650911,-2.8063703,3.0311728,10.487468,-2.3911925,3.4309217,10.509889999999999,-2.6821977,3.3965546,10.384749,-2.4400252,3.728287,10.280993,-2.5090030000000003,3.7304902,10.245452,-2.3672405999999997,3.6967741999999997,10.599041,-2.7236572,3.637568,10.479430999999998,-2.196487,4.2432251999999995,10.42178,-2.8064018,4.13916,10.225613,-2.0405562,4.7347546000000005,10.221993000000001,-2.8597495,4.602569,10.009771999999998,-1.9590105,4.5361343,8.9540535,-2.0034486,4.586092,9.07224,-2.3871052,3.8731048,10.145577
3,-2.643002,2.9177392,10.478835,-2.5991467000000004,2.874746,10.501035000000002,-2.695828,2.8724808,10.495079,-2.5101512999999995,2.8520468,10.555731,-2.7670488,2.8475282,10.53258,-2.3613231,3.0769780000000004,10.643991,-2.8055128000000003,3.030425,10.484387,-2.3909795000000003,3.4306836,10.508683999999999,-2.680505,3.395372,10.383924,-2.4399383,3.728551,10.280571,-2.508987,3.7293786,10.24467,-2.3676838,3.6921227,10.600889,-2.722817,3.6334714000000004,10.483531,-2.1991019,4.2386103,10.423428,-2.8075159999999997,4.1364583,10.226918000000001,-2.04489,4.7291726,10.218798,-2.860431,4.6022338000000005,10.008600000000001,-1.957053,4.5382282,8.953204,-2.0028979,4.5870638,9.0705377,-2.3877770000000003,3.871041,10.146446000000001
4,-2.6505095,2.919166,10.494705,-2.606157,2.8756920000000004,10.511383,-2.7008520000000003,2.8733196999999997,10.510722,-2.5139987,2.851424,10.551459000000001,-2.7653559999999997,2.8461704,10.536871999999999,-2.3618075,3.0734869999999996,10.632299999999999,-2.8046417000000003,3.0277472999999997,10.47617,-2.3909765,3.4238002,10.502863,-2.6786589999999997,3.3960167,10.377738,-2.4348235,3.72695,10.285307,-2.5043559999999996,3.7296253000000004,10.248653000000001,-2.3659754,3.6915606,10.601103,-2.7209315,3.632548,10.485026,-2.2024846,4.236733,10.420582,-2.8067344,4.1350275,10.230364999999999,-2.0441930999999998,4.7309214,10.223500000000001,-2.8603894000000003,4.5999777,10.0101,-1.9586587,4.535334,8.953168999999999,-2.0045047,4.584442,9.071805,-2.3880698000000002,3.8720933000000004,10.151159
5,-2.6547644,2.9195556,10.489784,-2.6103458,2.8763527,10.506086,-2.7039596,2.8734276,10.507066,-2.5190789000000002,2.8529912,10.545452,-2.7669764000000003,2.8466213000000002,10.535233,-2.3676418,3.0759263,10.629134,-2.8077716,3.0290508,10.47412,-2.3909463,3.4241837000000004,10.505047000000001,-2.6778188000000003,3.3972746,10.379019,-2.4335612,3.7284067,10.285267000000001,-2.5023293000000004,3.7317782999999998,10.249208000000001,-2.3723710000000002,3.690754,10.598241999999999,-2.725917,3.6314675000000003,10.482236,-2.202456,4.2402299999999995,10.420581,-2.8093803,4.1379714,10.227554000000001,-2.0434472,4.7341663,10.218879999999999,-2.8628662,4.6008196,10.003934999999998,-1.960018,4.5367143,8.951028599999999,-2.0081016,4.584113,9.068104,-2.3915792,3.8689438,10.147624
6,-2.6560309999999996,2.9221138,10.485983000000001,-2.6134256000000002,2.878514,10.500369000000001,-2.7036014,2.8770855,10.505068,-2.5237998,2.8522962,10.539008,-2.7636048000000004,2.8495144999999997,10.537816,-2.3662326,3.0751634,10.630054,-2.8067914,3.0291544999999998,10.475531,-2.3870893,3.4247357000000003,10.508360999999999,-2.6783780000000004,3.3963248000000004,10.378741,-2.432254,3.7285923999999997,10.287711999999999,-2.50139,3.7309897,10.250702,-2.3722722,3.6919364,10.597738000000001,-2.7265993,3.6326736,10.481503,-2.1998371,4.2410555,10.42378,-2.8127214,4.1360787,10.224564,-2.0459671,4.7326514,10.217488,-2.8621057,4.600503,10.005880000000001,-1.9587713,4.5375264,8.9524925,-2.0066838000000002,4.586228,9.0698826,-2.3920015,3.8687596,10.147316
7,-2.6239136000000003,2.9315084000000002,10.510527999999999,-2.5831598,2.8842230000000004,10.525571,-2.6797423,2.8852463,10.523089,-2.5077316,2.850396,10.557134,-2.7596306999999998,2.8529507,10.543784,-2.3655967,3.0715779999999997,10.636343,-2.80872,3.0325085,10.476384999999999,-2.3884957,3.4231,10.510132,-2.6770110000000003,3.399294,10.379047,-2.4334396,3.7279338,10.288633,-2.5038484,3.730206,10.248261999999999,-2.3693915,3.6893903999999997,10.601004,-2.7235872,3.6334565000000003,10.483664,-2.201934,4.2417739999999995,10.421918999999999,-2.8062057,4.1397172,10.228801999999998,-2.0478338,4.7333393,10.214160000000001,-2.8616354,4.600954,10.006257000000002,-1.96121,4.5348676999999995,8.951354,-2.0083176,4.5832643,9.069357,-2.3931843,3.8701309999999998,10.147401
8,-2.64904,2.9292502999999996,10.49924,-2.605198,2.8842673000000003,10.514218,-2.7005600000000003,2.8832682999999997,10.515659,-2.5165423999999996,2.8528625,10.547588000000001,-2.768563,2.851185,10.540109,-2.3655109999999997,3.0732208,10.62787,-2.808084,3.028936,10.474722,-2.3946084,3.4218102999999997,10.500442999999999,-2.6794937,3.3937523,10.378082,-2.4372663,3.7281135,10.282732000000001,-2.501685,3.7298910000000003,10.250725000000001,-2.3706478,3.6924088,10.598555000000001,-2.7253386,3.6338369999999998,10.484157999999999,-2.2017371999999997,4.2429065999999995,10.422428,-2.8066227,4.135668,10.227242,-2.0466752,4.734522,10.216122,-2.8614333,4.6009645,10.006449,-1.9605747,4.5357922,8.951965600000001,-2.0081089999999997,4.585048,9.0701056,-2.3920411,3.8699743,10.147809
9,-2.640765,2.934109,10.512455000000001,-2.597823,2.8876543,10.525253000000001,-2.694279,2.8875610000000003,10.525968,-2.5126540000000004,2.851963,10.550611,-2.766397,2.8523684,10.541457000000001,-2.3652154,3.0698,10.625634,-2.8072336,3.0300495,10.471691,-2.393976,3.4182426,10.502180000000001,-2.6810843,3.3946046,10.373944999999999,-2.4366634,3.728553,10.284877999999999,-2.5026431999999996,3.7310958,10.249283,-2.3714605,3.6932959999999997,10.597345,-2.7255052,3.6370456,10.482887000000002,-2.2009975,4.244293,10.421695,-2.8097934,4.140261,10.221969,-2.0459394,4.7342390000000005,10.214125000000001,-2.861863,4.6030423,10.004189,-1.9626584999999999,4.5358548,8.9505833,-2.0085831,4.5853376,9.069643600000001,-2.3904131,3.8714885999999997,10.14837
10,-2.6419577,2.9320148,10.508173000000001,-2.5993880000000003,2.8857043,10.52099,-2.6947697999999995,2.885599,10.522393000000001,-2.5160125,2.8523934,10.546866999999999,-2.7654856,2.8527861999999997,10.540678999999999,-2.3651509,3.0738947,10.627402,-2.8073346999999997,3.031084,10.472634999999999,-2.3918596,3.4241375,10.502607,-2.686424,3.3920687,10.368545000000001,-2.4389586,3.7275979999999995,10.281585,-2.5091887,3.726991,10.243079999999999,-2.369562,3.6915055000000003,10.600849,-2.723347,3.6337626,10.486233,-2.2021525,4.241842,10.420903,-2.8084546,4.1348082,10.225422,-2.0465076,4.7316304,10.214739999999999,-2.8632885000000003,4.6004218,10.005006999999999,-1.9644569,4.5335796,8.9479053,-2.0103218,4.5822492,9.066518,-2.3914774,3.8701728,10.148914
11,-2.6331177,2.931124,10.49578,-2.5915559999999997,2.8857014,10.511203,-2.6869836000000005,2.8855932,10.510701000000001,-2.5142379999999998,2.8538096,10.547056999999999,-2.7649040000000005,2.853583,10.537654999999999,-2.3707409,3.0743926999999998,10.633446,-2.811947,3.0321595,10.477744,-2.3910044,3.421862,10.505984,-2.6827088,3.3943146000000004,10.375041,-2.438526,3.7277823999999997,10.279983999999999,-2.5075787,3.7289622,10.244653,-2.3680224,3.6944816000000005,10.600157,-2.7212223,3.6375862,10.48497,-2.2023684,4.244157,10.418193,-2.8062627,4.1397756,10.226424000000002,-2.0408845,4.7382712,10.217516,-2.8622875,4.6035114,10.004618999999998,-1.9640199999999999,4.533738,8.947617,-2.0097783,4.5823467,9.065822,-2.3928504999999998,3.8707589999999996,10.146927999999999
12,-2.6446584,2.9199019999999996,10.484879,-2.6021573,2.875457,10.501469,-2.698201,2.8745355999999997,10.500185,-2.5154096,2.8522950000000002,10.545985,-2.769825,2.850297,10.532713000000001,-2.3663445,3.0791237999999996,10.636894999999999,-2.8091369999999998,3.0331639999999997,10.481625999999999,-2.3855767,3.4286624,10.509499,-2.6864934000000003,3.3898962,10.374572,-2.433819,3.7306820000000003,10.282538,-2.5020683,3.7289076999999997,10.250618,-2.372029,3.6906844,10.597547,-2.725168,3.6328300000000002,10.482985,-2.2080095,4.2326766,10.416425,-2.8073528,4.1330457,10.227238999999999,-2.0470908,4.7321582,10.215411000000001,-2.862094,4.600528199999999,10.006202,-1.9626309,4.5353225,8.948962,-2.0102592,4.5837962999999995,9.066326,-2.3965599,3.870667,10.14151
13,-2.6445499999999997,2.9170403,10.48514,-2.6013067000000003,2.8717544999999998,10.501712999999999,-2.697826,2.8710693,10.500743,-2.5151030000000003,2.8495204000000003,10.545144,-2.7683207,2.8482506,10.535027,-2.3728731,3.0809417,10.63119,-2.8015283,3.0413818,10.489249000000001,-2.3761334,3.4379044,10.517624999999999,-2.691348,3.3976793,10.367367999999999,-2.4348424,3.7286943,10.283239,-2.5138803999999997,3.7244707,10.240442000000002,-2.3633588999999997,3.7109315,10.599555,-2.7070227000000004,3.6579040000000003,10.494000000000002,-2.1999854,4.2415398,10.422139999999999,-2.804909,4.1416606,10.226175,-2.037672,4.7385156,10.221591,-2.8634703,4.6024925,10.003316,-1.9650075999999999,4.5339352,8.947135000000001,-2.0112316,4.583141,9.0652466,-2.3956245000000003,3.8677660000000005,10.143582
14,-2.6353383000000004,2.919451,10.493775999999999,-2.593899,2.873075,10.508252,-2.6901534,2.8737703,10.508296,-2.5141934,2.8476806999999997,10.54431,-2.765674,2.849662,10.537212,-2.3743454,3.0778176000000004,10.628120000000001,-2.8031278,3.0419796999999997,10.484998000000001,-2.3767644,3.4358177000000003,10.518374,-2.692266,3.4009004,10.364173999999998,-2.4330287999999998,3.7308806,10.286434,-2.514979,3.727748,10.237881,-2.364099,3.7118155,10.598463,-2.7078626,3.6603317000000004,10.492125000000001,-2.2037885,4.243103,10.419210000000001,-2.805749,4.145901,10.222313,-2.0377465,4.735939800000001,10.223139999999999,-2.8658172,4.601212,10.000763,-1.9674398000000002,4.5333597,8.9467436,-2.0142241,4.5814958,9.065014,-2.3957263,3.8694233000000002,10.142996
15,-2.6342535,2.9163727,10.491685,-2.592149,2.8698924,10.508026,-2.6906443,2.870179,10.504997,-2.5114720000000004,2.847393,10.547527,-2.7680062999999997,2.848662,10.534302,-2.3755965000000003,3.0778176000000004,10.628101999999998,-2.8023604000000004,3.0430045999999997,10.486941000000002,-2.3830976,3.4328136,10.512705,-2.6929703,3.3994997,10.36524,-2.4401748000000003,3.7253585,10.281321000000002,-2.5204053999999996,3.721959,10.23564,-2.3665081,3.7071842,10.596537999999999,-2.7085327999999995,3.656617,10.492048,-2.2047395,4.2400736,10.419929999999999,-2.806289,4.1425765,10.22356,-2.0402004000000002,4.7358122,10.220576999999999,-2.8646386,4.6012756,10.002120999999999,-1.9696704,4.53122,8.945988400000001,-2.0165395999999998,4.5783347,9.064449,-2.3963769,3.8676116,10.142577
16,-2.6340950000000003,2.9160333,10.492568,-2.5915018,2.8687721,10.506635,-2.6911249999999995,2.8691018,10.505116000000001,-2.5089878,2.8461336999999998,10.542868,-2.7681231,2.8471437,10.531588000000001,-2.3726931,3.0790707,10.627793,-2.7999038,3.0430636,10.486059000000001,-2.3826595,3.4351136999999996,10.513257,-2.694292,3.4004447,10.364655,-2.4360466,3.7315917,10.281944000000001,-2.519265,3.7271786000000002,10.232811,-2.3651493,3.7093249999999998,10.600046,-2.7074492,3.6580049999999997,10.494902,-2.2031611,4.2419747,10.422119,-2.804762,4.145322,10.227664,-2.0425682,4.7353536,10.211310000000001,-2.8653066999999997,4.6048707,9.9991083,-1.9686441,4.5310630000000005,8.944166300000001,-2.0134008,4.5775607,9.0622413,-2.3946825,3.8720006000000002,10.144043
17,-2.6401195,2.9155794000000004,10.485843,-2.5981435000000004,2.868931,10.499709,-2.6943988,2.869837,10.501366,-2.5139573,2.8455641999999997,10.538331000000001,-2.7654782,2.8483336999999995,10.534675,-2.3741737,3.0770229999999996,10.62631,-2.7974483,3.0429018,10.487567,-2.3808391,3.4339288000000003,10.515937,-2.6939392,3.3993286,10.363374,-2.4345529,3.7303853,10.284547,-2.5173153999999998,3.7265286,10.234888,-2.3672566,3.707601,10.598783000000001,-2.7072944999999997,3.6578637,10.495380999999998,-2.20644,4.236789,10.422049,-2.8060788,4.1444847000000005,10.225964999999999,-2.0402008,4.7298348,10.216221,-2.8650320000000002,4.603023,10.000612,-1.968445,4.5313305,8.94208,-2.0132194,4.577446,9.059104300000001,-2.3949434,3.870894,10.146575
18,-2.6490647000000003,2.9153234,10.477723000000001,-2.607213,2.8700900000000003,10.490358,-2.7008817,2.8701510000000003,10.495108,-2.5207713,2.8482476,10.529822,-2.7674797,2.8490843999999997,10.531676999999998,-2.3693089,3.0780548000000003,10.630759999999999,-2.8075165,3.033048,10.479099999999999,-2.3931906,3.4268343000000003,10.504669,-2.6907237999999998,3.3898637,10.369354,-2.4404344,3.7272784,10.279742,-2.5070091999999997,3.7261885,10.246440999999999,-2.374828,3.6885488,10.597844,-2.726028,3.6314323999999996,10.484332,-2.2065991,4.2369175,10.421826000000001,-2.8082338,4.1369264999999995,10.227014,-2.043311,4.732727,10.21021,-2.8623885,4.6052176,10.004351,-1.9694005,4.5307466000000005,8.941735600000001,-2.0133972,4.5773437999999995,9.0596485,-2.3932558,3.8697317,10.148481
19,-2.6529792000000003,2.9108125,10.474569,-2.612776,2.8660253000000004,10.48551,-2.7023458,2.8674880000000003,10.494178999999999,-2.528829,2.8446075,10.52256,-2.7643272000000003,2.8490964,10.534992,-2.3710212,3.0769,10.62946,-2.8064245,3.0324852,10.479993,-2.3949865,3.4259382,10.502579,-2.691016,3.389045,10.369083,-2.4418405,3.7252197,10.278263,-2.5082815000000003,3.7240478,10.245708,-2.3759536,3.6927623,10.595163999999999,-2.7255797,3.6354797999999997,10.482781000000001,-2.2122408,4.2380401,10.41621,-2.8086987000000003,4.137002799999999,10.226378,-2.0429319,4.7334304,10.211165,-2.8629493999999998,4.604249,10.003281,-1.9695025999999998,4.5303696,8.9427346,-2.0143439,4.5769745,9.0602416,-2.3952764,3.8706249999999995,10.145956
20,-2.6562542000000002,2.90742,10.467027,-2.6151732,2.862373,10.480826,-2.7068147,2.8636086,10.486768,-2.5251907,2.8435883,10.527017999999998,-2.7686125,2.847495,10.531296999999999,-2.3668584,3.0777776,10.635319,-2.8048040000000003,3.0341616,10.481377,-2.3880807,3.4284535,10.511330000000001,-2.692582,3.3897433,10.36681,-2.4365102,3.7275177,10.285774,-2.5075164,3.7250647,10.247037,-2.3786439,3.6874008000000003,10.594567,-2.7291736,3.6303365,10.480204,-2.2124493000000003,4.233481599999999,10.417553999999999,-2.8094342,4.1346392,10.225173000000002,-2.0447699999999998,4.730586,10.211424000000001,-2.8644136,4.602071,10.003802,-1.969837,4.530695,8.9443254,-2.0155757999999997,4.578411,9.062938,-2.3959178,3.8714516,10.145987000000002
21,-2.6448226000000004,2.9133411999999996,10.477929,-2.6035163,2.8670996,10.492355,-2.6973045,2.8688409999999998,10.49602,-2.5196558000000002,2.8435305,10.533364,-2.7651238,2.8483503999999997,10.5354,-2.3746921,3.0759087000000003,10.628453,-2.7994463000000005,3.0393317,10.486258,-2.3803866,3.4352454999999997,10.517814000000001,-2.6958114,3.3965182,10.361711,-2.4362887,3.727107,10.286168,-2.5200063,3.7227333000000002,10.234548,-2.3685622,3.706061,10.599546,-2.7099508,3.6543456,10.493667,-2.2040407,4.2386216,10.425713000000002,-2.8044662,4.1411108,10.228185999999999,-2.0420088,4.730988,10.213276,-2.8672403,4.6021822,10.000687,-1.970664,4.5313612,8.9452046,-2.0153347,4.579780700000001,9.064653499999999,-2.3953596999999998,3.8715526000000002,10.145413000000001
22,-2.6486433,2.9120833,10.476332,-2.6095509999999997,2.8659418,10.488571,-2.7004537,2.8688422000000005,10.495323,-2.527826,2.8424087,10.526104,-2.7657366,2.8509122,10.536109,-2.3720177000000002,3.0740591999999998,10.629711,-2.8070983,3.0348054,10.479237999999999,-2.3900397,3.4262908,10.511090000000001,-2.6932624,3.3912995,10.368127000000001,-2.4362922,3.7283372999999997,10.285858999999999,-2.5086135,3.7261984,10.245302,-2.3786031999999997,3.6871945999999998,10.594498000000002,-2.727371,3.6326940000000003,10.482493999999999,-2.2110759,4.2353922,10.420268,-2.8074706,4.137525,10.226914,-2.0440549,4.732459,10.210736,-2.8658763,4.6016842,10.002770000000002,-1.9704659999999998,4.5319512,8.944984700000001,-2.0157845,4.579651,9.064240999999999,-2.3950592,3.871803,10.145897
